ein,name,street,city,state,zip,category,description,ntee_code,asset_amt,income_amt,revenue_amt
010683207,Dewberry Foundation Inc,1545 Peachtree St Ne Ste 250,Atlanta,GA,30309-7030,Philanthropy,Named Trusts NEC,T90,111686,75000,
020694023,Atlanta Society Of Muslim Men Inc,401 Hillside Dr Sw,Atlanta,GA,30310-4415,Human Services,Human Services,P20,0,0,0
010959880,Warner Family And Friends Outreach Foundation,1059 Oglethorpe Ave Sw Apt 321,Atlanta,GA,30310-2661,Food,Food Programs,K30,0,0,0
201512111,Jehovah Jireh Edutainment Ministry Group Incorporated,970 Burns Dr Sw,Atlanta,GA,30310-4632,Religious,Protestant,X21,0,0,0
010678290,Georgia Community Loan Fund,999 Peachtree St Ne 2300,Atlanta,GA,30309-4416,Human Services,Human Services,P20,0,0,0
010786514,Christian Church Of The Living God Rehabilitation Center,1020 Smith St Sw,Atlanta,GA,30310-3624,Religious,Christianity,X20,,,
113644837,Integrity House Inc,1495 Avon Ave Sw,Atlanta,GA,30311-2701,Human Services,Centers to Support the Independence of Specific Populations,P80,1,0,0
141999105,Turkish American Chamber Of Commerce Of The Southeast United S,1349 West Peachtree St Nw Suite 101,Atlanta,GA,30309-2917,Community Capacity Bldg,Small Business Development,S43,25217,145806,145806
161742407,Concerned Dads Inc,2900 Landrum Dr Sw Apt 71,Atlanta,GA,30311-4397,Human Services,Human Services,P20,0,0,0
010580854,Cascade Community Services Inc,3144 Cascade Rd Sw,Atlanta,GA,30311-3616,Human Services,Centers to Support the Independence of Specific Populations,P80,0,0,0
043787395,Cattle On A Thousand Hills Inc,920 Cascade Rd Sw,Atlanta,GA,30311-2648,Human Services,Human Services,P20,0,0,0
043608033,Community Empowerment Development Corporation Inc,838 Cascade Rd Sw,Atlanta,GA,30311-2619,Human Services,Personal Social Services,P50,3066,5081,4879
200984437,Georgia Stratigic Alliance For New Direction And Unified Policies,501 Pulliam St Sw Ste 100,Atlanta,GA,30312-2700,Employment,Alliances & Advocacy,J01,135381,867403,867403
201641844,Diaper Free Baby Inc,711A Berne St Se,Atlanta,GA,30312-3503,Human Services,Family Services,P40,0,0,0
201459636,Action Mission Ministry Inc,18 William Holmes Borders Jr Drive,Atlanta,GA,30312-0000,Food,Food Banks & Pantries,K31,0,0,0
010888847,Bethel Towers Inc,504 Fair St Sw,Atlanta,GA,30313-1206,Housing Shelter,Housing Development,L20,2961405,1833194,1833194
141908435,Russell Management Resident Services Inc,504 Fair St Sw,Atlanta,GA,30313-1206,Human Services,Human Services,P20,0,0,0
200008218,Hills Park Neighborhood Association,925B Peachtree Street 216,Atlanta,GA,30309-3918,Community Capacity Bldg,Community & Neighborhood Development,S20,0,0,0
010703701,Holy Union Christian Church,2038 Reynolds Dr Sw,Altlanta,GA,30315-6039,Religious,Christianity,X20,,,
043695057,Last Chance Church Inc,300 Love St Sw,Atlanta,GA,30315-1048,Religious,Christianity,X20,,,
010619288,Tapestry Community Homeowners Association Inc,911 Walker Ave Se,Atlanta,GA,30316-2581,Community Capacity Bldg,Community & Neighborhood Development,S20,0,0,0
141869914,True Church Of God Outreach Ministry,1301 Simpson Rd Nw Apt 5,Atlanta,GA,30314-2075,Religious,Christianity,X20,,,
201099343,Victory Out Of Defeat Inc,1999 Pryor Rd Sw,Atlanta,GA,30315-6051,Religious,Protestant,X21,0,0,0
200904477,World Gospel Community Center,280 Martha Ave Ne,Atlanta,GA,30317-1443,Religious,Protestant,X21,0,0,0
010907877,Greater Bethel Atlanta Ame Church Inc,2455 Lakewood Ave Sw,Atlanta,GA,30315-6327,Religious,Christianity,X20,,,
030479748,Trinity Vineyard Inc,2270 Defoor Hills Rd Nw,Atlanta,GA,30318-2200,Religious,Christianity,X20,,,
010759211,Way Christian Tabernacle,1342 Glenwood Ave Se,Atlanta,GA,30316-2048,Religious,Christianity,X20,,,
010698118,Integrity Transformations Community Development Corporation,692 Lindsay St Nw,Atlanta,GA,30318-8419,Food,Food Programs,K30,10137,160486,160486
141924075,Keyaron Fox Foundation Inc,1588 Tallulah St Nw,Atlanta,GA,30318-7642,Philanthropy,Private Operating Foundations,T23,7644,1,
050585900,All Saints Church Inc,2352 Bolton Rd Nw,Atlanta,GA,30318-1232,Religious,Christianity,X20,,,
200639835,Higher Dimensions Christian Ministries Inc,1333 Hosea L Williams Dr Ne,Atlanta,GA,30317-1701,Religious,Protestant,X21,,,
020603491,Personal Growth Institute,2132 James Jackson Pkwy Nw,Atlanta,GA,30318-1015,Religious,Christianity,X20,,,
200253270,Price Family Foundation Inc,4418 Club Dr Ne,Atlanta,GA,30319-1122,Philanthropy,Private Independent Foundations,T22,14355,115596,
061531744,Canstruction Inc,1168 Howell Mill Rd Nw Suite F,Atlanta,GA,30318-0516,Food,Fund Raising & Fund Distribution,K12,276032,568694,568694
043745718,Brian E Powell Foundation,3140 Ferncliff Commons Ne,Atlanta,GA,30324-2567,Philanthropy,Private Independent Foundations,T22,580,0,
020600755,Sane Ministries International Inc,2470 Cheshire Bridge Rd Ne,Atlanta,GA,30324-3723,Religious,Protestant,X21,,,
020539011,Soul Care Ministries Inc,3535 Peachtree Rd Ne 520 246,Atlanta,GA,30326-0000,Human Services,American Red Cross,P21,0,0,0
201052873,Jeffrey And Jennifer Allred Family Foundation Inc,609 Fairfield Rd Nw,Atlanta,GA,30327-3221,Philanthropy,Private Grantmaking Foundations,T20,58571,39282,
200491864,Coremotion Foundation,1579 Monroe Dr Ste F 430,Atlanta,GA,30324-5039,Philanthropy,Private Independent Foundations,T22,293853,285501,
201856226,Post Hope Foundation Inc,4401 Northside Pkwy Nw Ste 800,Atlanta,GA,30327-3093,Philanthropy,Public Foundations,T30,231128,610979,503774
200483100,Wish Foundation Inc,3715 Northside Pkwy Northcreek 200,Atlanta,GA,30327-2882,Philanthropy,Private Independent Foundations,T22,5709795,349459,
141857177,Restoration By Faith Ministries Inc,3837 Mays Ct Sw,Atlanta,GA,30331-2050,Religious,Christianity,X20,,,
201512172,Campbellton Road West Corridor Community Development Corporation,3581 Revere Rd Sw,Atlanta,GA,30331-2340,Community Capacity Bldg,Economic Development,S30,0,0,0
200383691,Local 225 Building Association Inc,3500 Atlanta Industrial Dr Nw,Atlanta,GA,30331-1032,Community Capacity Bldg,Real Estate Associations,S47,739948,119208,-61702
200720994,Imani Foundation Inc,3201 Atlanta Industrial Pkwy Nw Bld,Atlanta,GA,30331-1045,Community Capacity Bldg,Nonprofit Management,S50,64299,907461,907461
050608342,Living Waters Center Inc,3520 Sherbrooke Way Sw,Atlanta,GA,30331-5408,Human Services,Emergency Assistance,P60,0,0,0
043630358,All Nations United Gospel,751 Fairburn Rd Sw Apt 5221,Atlanta,GA,30331-8559,Religious,Protestant,X21,,,
020627715,Juniper Tree Ministries,2863 Fairburn Pl Sw,Atlanta,GA,30331-6006,Religious,Protestant,X21,,,
200555747,Collaborative Law Institute Of Georgia Inc,4279 Roswell Rd Box 327,Atlanta,GA,30342-3769,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,819,6107,6107
020745078,American Case Management Association Georgia Chapter,1201 Peachtree St Ne,Atlanta,GA,30361-3503,Human Services,Fund Raising & Fund Distribution,P12,22448,9672,9672
161622195,Caring For Others Inc,3537 Browns Mill Rd,Atlanta,GA,30354-2701,Human Services,Human Services,P20,3390588,5806805,5806805
201565775,Galeo Latino Community Development Fund Inc,1100 Peachtree St,Atlanta,GA,30359-0000,Community Capacity Bldg,Community & Neighborhood Development,S20,18500,152978,152978
202070261,Carter Brothers Charities Inc,100 Hartsfield Center Pkwy Ste 140,Atlanta,GA,30354-1390,Philanthropy,Private Grantmaking Foundations,T20,10536,102501,102501
205977172,The Allison And Pete Davis Family Foundation Inc,869 Haven Oaks Ct Ne,Atlanta,GA,30342-4348,Philanthropy,Private Grantmaking Foundations,T20,109864,4975,
203650410,Richard And Susan Dugas Familyfoundation,8 Conifer Park Ln Ne,Atlanta,GA,30342-4302,Philanthropy,Private Grantmaking Foundations,T20,1842879,1053456,
202421492,Friends Of Chastain Park Inc,4279 Roswell Rd Pmb 102-118,Atlanta,GA,30342-3769,Philanthropy,Private Grantmaking Foundations,T20,12803,16870,
208426476,New Life Christian Bible Church Inc,264 Wilson Mill Rd Sw,Atlanta,GA,30331-4122,Religious,Christianity,X20,,,
223856492,Uplifting The Community Inc,130 Wynfield Way Sw,Atlanta,GA,30331-6837,Human Services,Human Services,P20,26975,0,0
205132736,Holy Ghost Temple Church Of God Inchrist,3810 Kenner Dr Sw,Atlanta,GA,30331-3738,Religious,Protestant,X21,,,
205308782,People United For Change Inc,3642 Campbellton Rd Sw,Atlanta,GA,30331-5200,Human Services,Centers to Support the Independence of Specific Populations,P80,0,0,0
202846636,St Mark African Methodist Episcopal Church Of Atlanta Inc,3605 Campbellton Rd Sw,Atlanta,GA,30331-5219,Religious,Christianity,X20,,,
204873372,Jewish Home Foundation Inc,3150 Howell Mill Rd Nw,Atlanta,GA,30327-2108,Philanthropy,Public Foundations,T30,10574801,589274,589274
205529710,Klaus Family Foundation,1330 Monte Carlo Dr Nw,Atlanta,GA,30327-3803,Philanthropy,Private Grantmaking Foundations,T20,10948052,1793555,
206722483,The Adams Family Fund,2560 W Wesley Rd Nw,Atlanta,GA,30327-2034,Philanthropy,Private Independent Foundations,T22,330725,262852,
206759456,Betty And Leon Goldstein Foundation,2888 Sequoyah Dr Nw,Atlanta,GA,30327-1806,Philanthropy,Private Independent Foundations,T22,651510,175335,
207201443,Boger-Owen Foundation,303 Townsend Pl Nw,Atlanta,GA,30327-3035,Philanthropy,Private Independent Foundations,T22,450155,212299,
205508805,Noonan Foundation,3500 Riverly Rd Nw,Atlanta,GA,30327-2526,Philanthropy,Private Independent Foundations,T22,6319618,1749301,
205613533,Orr Family Foundation Inc,3290 Northside Pkwy Nw Ste 400,Atlanta,GA,30327-2268,Philanthropy,Private Grantmaking Foundations,T20,410109,39017,
202025163,Celeste And Kurt Zuch Family Foundation Inc,1210 W Garmon Rd,Atlanta,GA,30327-4402,Philanthropy,Private Grantmaking Foundations,T20,570179,474843,
206706016,Braithwaite Fam Foundation,4401 Northside Pkwy Nw Ste 750,Atlanta,GA,30327-5278,Philanthropy,Private Grantmaking Foundations,T20,23336,19,
203045753,T Gordon Little Foundation Inc,3290 Northside Pkwy Nw Ste 950,Atlanta,GA,30327-2273,Philanthropy,Private Independent Foundations,T22,2080452,745878,
204821888,North American Electric Reliabilitycorporation,3353 Peachtree Rd Ne N Tower Ste 60,Atlanta,GA,30326-0000,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,51177783,59023482,58702601
203341363,Atlanta St Patricks Day Foundation Inc,1266 W Paces Ferry Rd Ste 615,Atlanta,GA,30327-2306,Philanthropy,Public Foundations,T30,534,148998,73085
208189985,Windham Brannon Foundation Inc,3630 Peachtree Rd Ne Ste 600,Atlanta,GA,30326-1550,Philanthropy,Private Grantmaking Foundations,T20,2772,7831,
207369458,J Tucker Foundation,3399 Peachtree Rd Ne Ste 1200,Atlanta,GA,30326-2812,Philanthropy,Private Independent Foundations,T22,26220,30000,
208083384,Nonami Foundation Inc,3445 Peachtree Rd Ne Ste 175,Atlanta,GA,30326-1234,Philanthropy,Private Independent Foundations,T22,6825394,1526065,
206978371,The Rondrick Williamson Foundation,415 Armour Dr Ne Apt 3103,Atlanta,GA,30324-3939,Philanthropy,Community Foundations,T31,383,2400,
203931240,Rfp Fund Inc,3475 Lenox Rd Ne Ste 970,Atlanta,GA,30326-3230,Philanthropy,Single Organization Support,T11,10029006,4120799,565916
208322418,Twenty 20 Something,741 Morosgo Dr Unit B63,Atlanta,GA,30324-3510,Human Services,Human Services,P20,0,0,0
205199333,Jerry W Walker Colorectal Cancerfoundation,3600 Cantrell Rd Ne,Atlanta,GA,30319-1305,Philanthropy,Private Independent Foundations,T22,22047,6500,
201865497,Mclain Family Foundation Inc,3560 Lenox Rd Ne Ste 2800,Atlanta,GA,30326-4276,Philanthropy,Private Grantmaking Foundations,T20,1300081,592571,
203460301,Steed Society Inc,770 English Ave Nw,Atlanta,GA,30318-8400,Community Capacity Bldg,Community & Neighborhood Development,S20,0,0,0
205788654,Holy Light Tabernacle Ofdeliverance And Praise,1783 Johnson Rd Nw Apt 3103,Atlanta,GA,30318-8905,Religious,Protestant,X21,,,
202892874,Bethesda Christian Ministries Inc,2639 Morris St Nw,Atlanta,GA,30318-4542,Religious,Protestant,X21,0,0,0
203750569,Johnnie B Moore Towers Ii Inc,2283 Baker Rd Nw,Atlanta,GA,30318-6220,Religious,Religion-Related NEC,X99,4621554,346893,346893
207501843,Clear Family Foundation,3685 Peachtree Rd Ne Apt 10,Atlanta,GA,30319-1262,Philanthropy,Private Independent Foundations,T22,14139,2022,
204906640,Rosaleanas Community Developmentcenter Inc,350 Schoen St Se,Atlanta,GA,30315-5308,Human Services,Human Services,P20,1,0,0
208939688,Revival Fire Ministriesinternational Inc,1835 Henry Thomas Dr Se,Atlanta,GA,30315-5613,Religious,Religion-Related NEC,X99,0,0,0
202178972,Sabbath Christian Alliance,1670 Glenwood Ave Se,Atlanta,GA,30316-1753,Religious,Christianity,X20,,,
203217140,Central Community Services,501 Mitchell St Sw,Atlanta,GA,30314-4723,Human Services,Personal Social Services,P50,0,0,0
205388808,Career Choice International,1463 Mims St Sw,Atlanta,GA,30314-2641,Employment,Employment Preparation & Procurement,J20,0,0,0
208041086,Cowan Foundation Inc,3344 Peachtree Roadsuite 2903,Atlanta,GA,30326-0000,Philanthropy,Private Independent Foundations,T22,701510,89418,
203900639,Metropolitan Atlanta Communitydevelopment Corporation,633 Pryor St Sw,Atlanta,GA,30312-2738,Housing Shelter,Low-Income & Subsidized Rental Housing,L21,0,0,0
203102825,Reachlife Ministries Inc,650 Hamilton Ave Se,Atlanta,GA,30312-3778,Religious,Religious Media & Communications,X80,37981,62288,42365
203060988,Georgia Wand Education Fund Inc,250 Georgia Ave Se,Atlanta,GA,30312-3046,Public Social Benefit,Citizen Participation,W24,419460,1381830,1376262
208038859,First Step Staffing,302 Decatur St Se,Atlanta,GA,30312-1708,Employment,Job Training,J22,420367,1602962,1502184
205140942,Childrens Garden Preschool,486 Park Ave Se,Atlanta,GA,30312-3452,Human Services,Child Day Care,P33,20058,160386,158667
202614511,Alliance For Retired Americans,501 Pulliam St Sw Ste 549,Atlanta,GA,30312-2751,Civil Rights,Seniors‰Ûª Rights,R25,0,0,0
208853311,Jarvis Hayes Foundation,1331 Audubon Ct Sw,Atlanta,GA,30311-2471,Human Services,Family Services,P40,1,1,
204647176,Sankofa Ministries And Tellin Our Story,622 Lynn Cir Sw,Atlanta,GA,30311-2315,Religious,Christianity,X20,0,0,0
203831519,Patty Hertz Reid Foundation Inc,1440 Spring St Nw,Atlanta,GA,30309-2832,Philanthropy,Single Organization Support,T11,322692,106287,106287
202424773,Shoulberg Family Foundation Inc,1100 Spring Street Nw,Atlanta,GA,30309-2846,Philanthropy,Private Grantmaking Foundations,T20,2797,18000,
205053817,Apec Family Foundation Fund Inc,1099 Cascade Rd Sw,Atlanta,GA,30311-2813,Philanthropy,Public Foundations,T30,0,0,0
202424943,Stephen Scott Selig Family Foundation Inc,1100 Spring Street Nw,Atlanta,GA,30309-2846,Philanthropy,Private Independent Foundations,T22,2238,18000,
202424890,Sls Family Foundation Inc,1100 Spring Street Nw,Atlanta,GA,30309-2846,Philanthropy,Private Independent Foundations,T22,23379,1,
202424529,Stephanie And Blake Selig Foundation Inc,1100 Spring Street Nw,Atlanta,GA,30309-2846,Philanthropy,Private Independent Foundations,T22,15116,18000,
202432829,Linda W Selig Foundation Inc,1100 Spring Street Nw,Atlanta,GA,30309-2846,Philanthropy,Private Independent Foundations,T22,546,1,
203431520,Fisher & Phillips Foundation,1075 Peachtree St Ne Ste 3500,Atlanta,GA,30309-3900,Philanthropy,Private Grantmaking Foundations,T20,0,0,0
203098434,Impact France Inc,1100 Peachtree St Ne Ste 200,Atlanta,GA,30309-4503,Philanthropy,Community Foundations,T31,79380,796630,796630
205855797,King-White Family Foundation Inc,50 Woodcrest Ave Ne,Atlanta,GA,30309-1525,Philanthropy,Private Independent Foundations,T22,2386584,1452319,
202584824,Gregory And Erica Lewis Family Foundation Inc,1100 Spring Street Nw,Atlanta,GA,30309-2846,Philanthropy,Private Independent Foundations,T22,3040,19000,
204337002,Doug And Robyn Ross Familyfoundation Inc,1440 Spring St Nw,Atlanta,GA,30309-2832,Philanthropy,Private Grantmaking Foundations,T20,1564364,1237814,506923
202897316,Bryan And Amy Lewis Family Foundation Inc,1100 Spring Street Nw,Atlanta,GA,30309-2846,Philanthropy,Private Independent Foundations,T22,2275,18000,
205409413,Gender Gap Foundation Inc,2288 Peachtree Rd Nw Unit 3,Atlanta,GA,30309-1179,Philanthropy,Philanthropy,T99,25182,29922,26121
204708212,Development In Gardening,999 Peachtree St Ne Ste 2300,Atlanta,GA,30309-4416,Community Capacity Bldg,Community & Neighborhood Development,S20,105958,253676,253676
208042671,Mckenna Long & Aldridge Foundation Inc,303 Peachtree St Ne Ste 5300,Atlanta,GA,30308-3265,Philanthropy,Private Independent Foundations,T22,406,658495,
203149328,Alice And Noah N Langdale Jr Foundation Inc,1100 Peachtree St Ne Ste 2860,Atlanta,GA,30309-9916,Philanthropy,Private Grantmaking Foundations,T20,7375847,9966105,
208904022,Vision Seekers Incorporated,1223 Hardee St Ne Rm B-5,Atlanta,GA,30307-2719,Housing Shelter,Housing Development,L20,240,0,0
204343044,Capitol Hill Neighborhooddevelopment Corporation,7121 Noble Dr Ne,Atlanta,GA,30306-0000,Community Capacity Bldg,Community & Neighborhood Development,S20,57340,0,0
223696053,Janx Foundation Inc,917 Springdale Rd Ne,Atlanta,GA,30306-4619,Philanthropy,Private Independent Foundations,T22,671891,201722,
208686890,Lookout Foundation Inc,2877 Habersham Rd Nw,Atlanta,GA,30305-2939,Philanthropy,Private Grantmaking Foundations,T20,6490775,8356165,
208112871,Playmore Fuondation Inc,3 Vernon Rd Nw,Atlanta,GA,30305-2963,Philanthropy,Public Foundations,T30,24361,72,
203687732,St Joseph Foundation For Family Values Inc,35 Demorest Ave Ne,Atlanta,GA,30305-3715,Philanthropy,Private Independent Foundations,T22,158500,2009,
203798084,Shumard Foundation Inc,3520 Piedmont Rd Ne Ste 200,Atlanta,GA,30305-1511,Community Capacity Bldg,Single Organization Support,S11,20678576,2403590,2328757
205264413,The@Five Thirty Foundation Inc,450 E Paces Ferry Rd Ne,Atlanta,GA,30305-3301,Philanthropy,Private Independent Foundations,T22,175023,44423,
205088833,Spanx By Sara Blakely Foundation Inc,3035 Peachtree Road Ne Suite 200,Atlanta,GA,30305-2745,Philanthropy,Public Foundations,T30,24149982,62853966,
203027918,The Hagedorn Family Charitable Fund Inc,353 Peachtree Battle Ave Nw,Atlanta,GA,30305-4064,Philanthropy,Private Independent Foundations,T22,283276,134644,
205756777,The Klump Family Foundation Inc,3060 Peachtree Rd Nw Ste 400,Atlanta,GA,30305-2239,Philanthropy,Private Grantmaking Foundations,T20,8823925,8328818,
205999606,Origins Church Los Angeles Inc,3195 Peachtree Dr Ne,Atlanta,GA,30305-2769,Religious,Protestant,X21,,,
208550914,Jwb Family Foundation Inc,3003 Habersham Rd Nw,Atlanta,GA,30305-2845,Philanthropy,Private Grantmaking Foundations,T20,173813,1016,
202379487,International Association For Stability Handling And Use Of,3525 Piedmont Road Building 5,Atlanta,GA,30305-1578,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,374537,87308,87308
237082160,Georgia Association Of The American Institute Of Architects Inc,100 Edgewood Ave Ne Ste 190,Atlanta,GA,30303-3024,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,823210,520026,398822
204760148,Donna Boortz Foundation Inc,2870 Peachtree Rd Ste 403,Atlanta,GA,30305-2918,Philanthropy,Private Independent Foundations,T22,165215,65658,
208351046,Goodwill Of North Georgia Inc,235 Peachtree St Ne Ste 2300,Atlanta,GA,30303-1406,Employment,Goodwill Industries,J32,148095463,123817066,117168146
202217504,The Charitable Foundation Of The,100 Edgewood Ave Ne Ste 508,Atlanta,GA,30303-3068,Philanthropy,Public Foundations,T30,36341,13159,13159
202139797,Big Bethel Title Holding Company Inc,204 Auburn Ave Ne,Atlanta,GA,30303-2602,Community Capacity Bldg,Real Estate Associations,S47,2876371,49874,49874
203542333,Red Nose Relief Inc,2660 Peachtree Rd Ne,Atlanta,GA,30305-0000,Human Services,Personal Social Services,P50,0,0,0
203502367,Church Of Gwinnett,260 Peachtree St Nw Ste 502,Atlanta,GA,30303-1201,Religious,Protestant,X21,,,
204705699,Marrow For Life,135 Auburn Avenue,Atlanta,GA,30303-2567,Human Services,Human Services NEC,P99,0,0,0
203982777,Cousins Properties Foundation Inc,191 Peachtree St Ne Ste 500,Atlanta,GA,30303-1755,Philanthropy,Private Grantmaking Foundations,T20,4192617,2421181,
261477073,Georgia Watch Foundation Inc,55 Marietta St Nw Ste 903,Atlanta,GA,30303-2835,Human Services,Fund Raising & Fund Distribution,P12,177625,4971,4971
264678400,Damaged Goodz Outreach Inc,50 Hurt Plz Se Ste 945,Atlanta,GA,30303-2944,Human Services,Centers to Support the Independence of Specific Populations,P80,0,0,0
261193832,24 7 Gateway Llc,275 Pryor St Sw,Atlanta,GA,30303-3638,Housing Shelter,Homeless Shelters,L41,7122015,3817537,2998906
260708412,Georgia Chamber Of Commercefoundation Inc,270 Peachtree Street Nw,Atlanta,GA,30303-1283,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,1239608,295875,295875
262739653,Acf 2012 Host Committee Inc,235 Andrew Young Intl Blvd Nw,Atlanta,GA,30303-2718,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,3968,8,8
261947437,Gideons Promise Inc,101 Marietta Street,Atlanta,GA,30303-2720,Human Services,Human Services,P20,798387,1317617,1281386
260022498,Corenet Global Community Reinvestment Challenge,133 Peachtree St Ne Ste 3000,Atlanta,GA,30303-1815,Community Capacity Bldg,Professional Societies & Associations,S03,0,0,0
263685989,Structural Engineers Association Of Georgia Inc,233 Peachtree St Ne Ste 700,Atlanta,GA,30303-1506,Community Capacity Bldg,Chambers of Commerce & Business Leagues,S41,0,0,0
263496365,Giving Back To Humanity,92 Broad St Sw,Atlanta,GA,30303-3412,Human Services,Homeless Centers,P85,0,0,0
261400615,Catherine H And John H Crawford Iii Family Foundation Inc,2611 Peachtree Rd Ne,Atlanta,GA,30305-3603,Philanthropy,Private Grantmaking Foundations,T20,1183846,404859,
264500686,Atlanta Chevre Minyan,3530 Piedmont Rd Ne Apt 2B,Atlanta,GA,30305-1523,Religious,Judaism,X30,0,0,0
256912420,Robert Sheft And Hope Gittis Sheft Foundation,3631 Tuxedo Rd Nw,Atlanta,GA,30305-1015,Philanthropy,Named Trusts NEC,T90,2793910,3519396,
263747851,Mtoto Africa Inc,2907 N Hills Dr Ne,Atlanta,GA,30305-3422,Human Services,Human Services NEC,P99,0,0,0
263692989,Loudermilk Foundation Inc,3060 Peachtree Rd Nw Ste 330,Atlanta,GA,30305-2207,Philanthropy,Private Independent Foundations,T22,2936,1,
261202588,Fife Charitable Foundation Inc,2964 Peachtree Rd Nw Ste 326,Atlanta,GA,30305-2120,Philanthropy,Private Grantmaking Foundations,T20,9041,47500,
261608725,Singer Family Foundation Inc,2660 Peachtree Rd Nw Apt 16B,Atlanta,GA,30305-3677,Philanthropy,Private Independent Foundations,T22,408263,129803,
262782177,Alpha Delta Pi International Housing Inc,1386 Ponce De Leon Ave Ne,Atlanta,GA,30306-4604,Community Capacity Bldg,Real Estate Associations,S47,7067553,774088,106281
